Name,Indian rupee
1/2/1979,1792.85
1/3/1979,1802.15
1/4/1979,1811.74
1/5/1979,1843.57
1/8/1979,1841.33
1/9/1979,1822.52
1/10/1979,1803.5
1/11/1979,1814.57
1/12/1979,1782.62
1/15/1979,1782.01
1/16/1979,1796.52
1/17/1979,1842.06
1/18/1979,1861.74
1/19/1979,1940.75
1/22/1979,1886.87
1/23/1979,1895.37
1/24/1979,1926.08
1/25/1979,1937.79
1/26/1979,1929.26
1/29/1979,1886.95
1/30/1979,1921.57
1/31/1979,1840.82
2/1/1979,1927.14
2/2/1979,1907.37
2/5/1979,1971.85
2/6/1979,1996.78
2/7/1979,2030.96
2/8/1979,2081.04
2/9/1979,2000.87
2/12/1979,2046.37
2/13/1979,2000.6
2/14/1979,1946.67
2/15/1979,2008.3
2/16/1979,2016.69
2/19/1979,2047.39
2/20/1979,2032.39
2/21/1979,2039.17
2/22/1979,2052.67
2/23/1979,2041.96
2/26/1979,2034.48
2/27/1979,2012.67
2/28/1979,2011.68
3/1/1979,2023.86
3/2/1979,2020.48
3/5/1979,1972.05
3/6/1979,1941.23
3/7/1979,1953.97
3/8/1979,1919.78
3/9/1979,1938.05
3/12/1979,1939.69
3/13/1979,1963.4
3/14/1979,1969.91
3/15/1979,1970.06
3/16/1979,1972.92
3/19/1979,2016.94
3/20/1979,1991.55
3/21/1979,1977.71
3/22/1979,1997.98
3/23/1979,1987.49
3/26/1979,1989.92
3/27/1979,2006.21
3/28/1979,1988.91
3/29/1979,1966.02
3/30/1979,1940.16
4/2/1979,1948.09
4/3/1979,1942.59
4/4/1979,1940.84
4/5/1979,1939.47
4/6/1979,1922.7
4/9/1979,1957.59
4/10/1979,1946.32
4/11/1979,1956.22
4/12/1979,1917.55
4/13/1979,1917.55
4/16/1979,1917.55
4/17/1979,1897.5
4/18/1979,1931.54
4/19/1979,1980.31
4/20/1979,1965.59
4/23/1979,1953.91
4/24/1979,1982.11
4/25/1979,2020.73
4/26/1979,2025.1
4/27/1979,2016.6
4/30/1979,2013.1
5/1/1979,2044.71
5/2/1979,2036.12
5/3/1979,2019.55
5/4/1979,2034.54
5/7/1979,2034.54
5/8/1979,2065.99
5/9/1979,2039.57
5/10/1979,2096.63
5/11/1979,2103.3
5/14/1979,2089.98
5/15/1979,2066.64
5/16/1979,2090.69
5/17/1979,2107.23
5/18/1979,2115.46
5/21/1979,2148.92
5/22/1979,2181.38
5/23/1979,2154.46
5/24/1979,2155.38
5/25/1979,2215.71
5/28/1979,2215.71
5/29/1979,2259.99
5/30/1979,2228.63
5/31/1979,2253.41
6/1/1979,2244.73
6/4/1979,2215.48
