"","gold_price_dates","prices"
"1",1979-01-02,55.763909975
"2",1979-01-03,56.053172525
"3",1979-01-04,56.35145509
"4",1979-01-05,57.341479495
"5",1979-01-06,57.341479495
"6",1979-01-07,57.341479495
"7",1979-01-08,57.271807655
"8",1979-01-09,56.68675082
"9",1979-01-10,56.09516225
"10",1979-01-11,56.439477995
"11",1979-01-12,55.44572117
"12",1979-01-13,55.44572117
"13",1979-01-14,55.44572117
"14",1979-01-15,55.426748035
"15",1979-01-16,55.87805982
"16",1979-01-17,57.29451321
"17",1979-01-18,57.90663009
"18",1979-01-19,60.364117625
"19",1979-01-20,60.364117625
"20",1979-01-21,60.364117625
"21",1979-01-22,58.688261045
"22",1979-01-23,58.952640795
"23",1979-01-24,59.90782928
"24",1979-01-25,60.272051265
"25",1979-01-26,60.00673841
"26",1979-01-27,60.00673841
"27",1979-01-28,60.00673841
"28",1979-01-29,58.690749325
"29",1979-01-30,59.767552495
"30",1979-01-31,57.25594487
"31",1979-02-01,59.94079899
"32",1979-02-02,59.325882795
"33",1979-02-03,59.325882795
"34",1979-02-04,59.325882795
"35",1979-02-05,61.331436475
"36",1979-02-06,62.10684673
"37",1979-02-07,63.16996436
"38",1979-02-08,64.72762764
"39",1979-02-09,62.234060045
"40",1979-02-10,62.234060045
"41",1979-02-11,62.234060045
"42",1979-02-12,63.649269295
"43",1979-02-13,62.2256621
"44",1979-02-14,60.548250345
"45",1979-02-15,62.46515905
"46",1979-02-16,62.726117415
"47",1979-02-17,62.726117415
"48",1979-02-18,62.726117415
"49",1979-02-19,63.680994865
"50",1979-02-20,63.214442365
"51",1979-02-21,63.425324095
"52",1979-02-22,63.845221345
"53",1979-02-23,63.51210286
"54",1979-02-24,63.51210286
"55",1979-02-25,63.51210286
"56",1979-02-26,63.27944868
"57",1979-02-27,62.601081345
"58",1979-02-28,62.57028888
"59",1979-03-01,62.94912951
"60",1979-03-02,62.84399968
"61",1979-03-03,62.84399968
"62",1979-03-04,62.84399968
"63",1979-03-05,61.337657175
"64",1979-03-06,60.379047305
"65",1979-03-07,60.775305895
"66",1979-03-08,59.71187723
"67",1979-03-09,60.280138175
"68",1979-03-10,60.280138175
"69",1979-03-11,60.280138175
"70",1979-03-12,60.331147915
"71",1979-03-13,61.0686119
"72",1979-03-14,61.271095685
"73",1979-03-15,61.27576121
"74",1979-03-16,61.36471722
"75",1979-03-17,61.36471722
"76",1979-03-18,61.36471722
"77",1979-03-19,62.73389329
"78",1979-03-20,61.944175425
"79",1979-03-21,61.513702985
"80",1979-03-22,62.14417093
"81",1979-03-23,61.817895215
"82",1979-03-24,61.817895215
"83",1979-03-25,61.817895215
"84",1979-03-26,61.89347672
"85",1979-03-27,62.400152735
"86",1979-03-28,61.862062185
"87",1979-03-29,61.15010307
"88",1979-03-30,60.34576656
"89",1979-03-31,60.34576656
"90",1979-04-01,60.34576656
"91",1979-04-02,60.592417315
"92",1979-04-03,60.421348065
"93",1979-04-04,60.36691694
"94",1979-04-05,60.324305145
"95",1979-04-06,59.80269945
"96",1979-04-07,59.80269945
"97",1979-04-08,59.80269945
"98",1979-04-09,60.887900565
"99",1979-04-10,60.53736412
"100",1979-04-11,60.84528877
"101",1979-04-12,59.642516425
"102",1979-04-13,59.642516425
"103",1979-04-14,59.642516425
"104",1979-04-15,59.642516425
"105",1979-04-16,59.642516425
"106",1979-04-17,59.01889125
"107",1979-04-18,60.07765439
"108",1979-04-19,61.594572085
"109",1979-04-20,61.136728565
"110",1979-04-21,61.136728565
"111",1979-04-22,61.136728565
"112",1979-04-23,60.773439685
"113",1979-04-24,61.650558385
"114",1979-04-25,62.851775555
"115",1979-04-26,62.98769785
"116",1979-04-27,62.7233181
"117",1979-04-28,62.7233181
"118",1979-04-29,62.7233181
"119",1979-04-30,62.61445585
"120",1979-05-01,63.597637485
"121",1979-05-02,63.33045842
"122",1979-05-03,62.815073425
"123",1979-05-04,63.28131489
"124",1979-05-05,63.28131489
"125",1979-05-06,63.28131489
"126",1979-05-07,63.28131489
"127",1979-05-08,64.259519965
"128",1979-05-09,63.437765495
"129",1979-05-10,65.212531205
"130",1979-05-11,65.41999155
"131",1979-05-12,65.41999155
"132",1979-05-13,65.41999155
"133",1979-05-14,65.00569293
"134",1979-05-15,64.27973724
"135",1979-05-16,65.027776415
"136",1979-05-17,65.542228305
"137",1979-05-18,65.79821011
"138",1979-05-19,65.79821011
"139",1979-05-20,65.79821011
"140",1979-05-21,66.83893322
"141",1979-05-22,67.84855283
"142",1979-05-23,67.01124661
"143",1979-05-24,67.03986183
"144",1979-05-25,68.916335985
"145",1979-05-26,68.916335985
"146",1979-05-27,68.916335985
"147",1979-05-28,68.916335985
"148",1979-05-29,70.293598965
"149",1979-05-30,69.318193205
"150",1979-05-31,70.088937935
"151",1979-06-01,69.818959555
"152",1979-06-02,69.818959555
"153",1979-06-03,69.818959555
"154",1979-06-04,68.90918218
"155",1979-06-05,69.390975395
"156",1979-06-06,70.845375055
"157",1979-06-07,70.781923915
"158",1979-06-08,70.385665325
"159",1979-06-09,70.385665325
"160",1979-06-10,70.385665325
"161",1979-06-11,71.47148851
"162",1979-06-12,69.802163665
"163",1979-06-13,68.69083561
"164",1979-06-14,69.63389373
"165",1979-06-15,70.2254823
"166",1979-06-16,70.2254823
"167",1979-06-17,70.2254823
"168",1979-06-18,70.388775675
"169",1979-06-19,69.63824822
"170",1979-06-20,69.700766255
"171",1979-06-21,69.4478948
"172",1979-06-22,70.73869005
"173",1979-06-23,70.73869005
"174",1979-06-24,70.73869005
"175",1979-06-25,70.78347909
"176",1979-06-26,70.3934412
"177",1979-06-27,70.038550265
"178",1979-06-28,69.69299038
"179",1979-06-29,68.133771925
"180",1979-06-30,68.133771925
"181",1979-07-01,68.133771925
"182",1979-07-02,70.06809859
"183",1979-07-03,68.739668105
"184",1979-07-04,68.406860655
"185",1979-07-05,69.088027305
"186",1979-07-06,70.230769895
"187",1979-07-07,70.230769895
"188",1979-07-08,70.230769895
"189",1979-07-09,72.43134252
"190",1979-07-10,71.76137313
"191",1979-07-11,71.563243835
"192",1979-07-12,71.748620695
"193",1979-07-13,71.18222596
"194",1979-07-14,71.18222596
"195",1979-07-15,71.18222596
"196",1979-07-16,71.456247795
"197",1979-07-17,71.778480055
"198",1979-07-18,73.36133717
"199",1979-07-19,72.919978505
"200",1979-07-20,73.20146518
"201",1979-07-21,73.20146518
"202",1979-07-22,73.20146518
"203",1979-07-23,73.566309235
"204",1979-07-24,73.48201875
"205",1979-07-25,72.75233064
"206",1979-07-26,72.502569535
"207",1979-07-27,73.63007141
"208",1979-07-28,73.63007141
"209",1979-07-29,73.63007141
"210",1979-07-30,73.38497583
"211",1979-07-31,73.22199349
"212",1979-08-01,71.46526781
"213",1979-08-02,72.0108232
"214",1979-08-03,70.85812749
"215",1979-08-04,70.85812749
"216",1979-08-05,70.85812749
"217",1979-08-06,71.485485085
"218",1979-08-07,70.99560496
"219",1979-08-08,72.23290219
"220",1979-08-09,72.98311861
"221",1979-08-10,75.14792221
"222",1979-08-11,75.14792221
"223",1979-08-12,75.14792221
"224",1979-08-13,75.803895025
"225",1979-08-14,73.172538925
"226",1979-08-15,74.95383637
"227",1979-08-16,74.37966576
"228",1979-08-17,75.066742075
"229",1979-08-18,75.066742075
"230",1979-08-19,75.066742075
"231",1979-08-20,75.02724063
"232",1979-08-21,75.32147974
"233",1979-08-22,78.266048085
"234",1979-08-23,77.578660735
"235",1979-08-24,78.534160255
"236",1979-08-25,78.534160255
"237",1979-08-26,78.534160255
"238",1979-08-27,78.534160255
"239",1979-08-28,78.351893745
"240",1979-08-29,77.66854985
"241",1979-08-30,79.069762525
"242",1979-08-31,78.618761775
"243",1979-09-01,78.618761775
"244",1979-09-02,78.618761775
"245",1979-09-03,79.168049585
"246",1979-09-04,80.68621142
"247",1979-09-05,81.778255305
"248",1979-09-06,84.522828145
"249",1979-09-07,82.025839165
"250",1979-09-08,82.025839165
"251",1979-09-09,82.025839165
"252",1979-09-10,83.500767135
"253",1979-09-11,84.23947526
"254",1979-09-12,84.5455337
"255",1979-09-13,84.68674359
"256",1979-09-14,87.14392009
